epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,954.674,1.50842,4.84847,0.00637,0.47186,0.16973,0.13443,0.09568,1.32724,2.8015,0.00721,0.00333243,0.00333243,0.00333243
2,1865.4,1.57317,3.24864,0.00685,0.36984,0.24627,0.18709,0.13074,1.35637,2.46455,0.00752,0.00666414,0.00666414,0.00666414
3,2753.48,1.69027,3.17939,0.00773,0.36998,0.23536,0.18254,0.1246,1.44477,2.50586,0.00844,0.00998933,0.00998933,0.00998933
4,3640.56,1.79188,3.25929,0.00859,0.37364,0.25905,0.20304,0.14112,1.42584,2.39211,0.00826,0.00997803,0.00997803,0.00997803
5,4532.91,1.76364,3.11371,0.00835,0.40182,0.27048,0.21824,0.15277,1.39317,2.3066,0.008,0.00996097,0.00996097,0.00996097
6,5427.98,1.74233,3.03762,0.0082,0.40282,0.28346,0.2281,0.16144,1.36644,2.26098,0.00773,0.00993906,0.00993906,0.00993906
7,6324.69,1.7387,2.99304,0.00811,0.39455,0.29738,0.23836,0.16908,1.35505,2.22654,0.0076,0.00991232,0.00991232,0.00991232
8,7219.04,1.71885,2.95658,0.00805,0.41005,0.29639,0.24206,0.17244,1.34682,2.20664,0.00752,0.00988079,0.00988079,0.00988079
9,8115.26,1.71803,2.93066,0.008,0.39933,0.30532,0.24554,0.17515,1.33854,2.19785,0.00747,0.00984449,0.00984449,0.00984449
10,9008.03,1.70779,2.90705,0.00792,0.39589,0.30521,0.24735,0.17694,1.33507,2.1893,0.00745,0.00980345,0.00980345,0.00980345
11,9901.49,1.70731,2.8918,0.00792,0.39557,0.30726,0.24927,0.17861,1.33221,2.18378,0.00742,0.00975773,0.00975773,0.00975773
12,10790.3,1.70064,2.86995,0.00786,0.4047,0.30573,0.25096,0.18025,1.32807,2.17812,0.00739,0.00970736,0.00970736,0.00970736
13,11684.9,1.69717,2.85602,0.00782,0.40934,0.30724,0.25219,0.1813,1.32535,2.17328,0.00736,0.00965239,0.00965239,0.00965239
14,12582.1,1.69772,2.85193,0.00782,0.39757,0.30969,0.25412,0.18284,1.32188,2.16883,0.00732,0.00959289,0.00959289,0.00959289
15,13472.9,1.69014,2.83903,0.00779,0.39361,0.31391,0.25567,0.18406,1.32033,2.16487,0.00731,0.00952889,0.00952889,0.00952889
16,14364.5,1.69041,2.82738,0.00775,0.40517,0.3124,0.25671,0.18503,1.31887,2.15928,0.00729,0.00946048,0.00946048,0.00946048
17,15251,1.68597,2.82532,0.00776,0.39776,0.31394,0.25779,0.18566,1.31756,2.15507,0.00726,0.00938772,0.00938772,0.00938772
18,16144.8,1.68314,2.81447,0.00776,0.38989,0.31586,0.25916,0.18664,1.31579,2.15029,0.00724,0.00931067,0.00931067,0.00931067
19,17036.1,1.68375,2.79395,0.00771,0.38838,0.31675,0.26157,0.18848,1.31402,2.14595,0.00723,0.00922942,0.00922942,0.00922942
20,17927.6,1.68171,2.79775,0.00767,0.38729,0.31952,0.26204,0.18888,1.31228,2.14047,0.0072,0.00914405,0.00914405,0.00914405
21,18831.4,1.67558,2.77811,0.00767,0.38291,0.3219,0.26373,0.19027,1.31161,2.13427,0.00719,0.00905463,0.00905463,0.00905463
22,19740.2,1.67556,2.77431,0.00765,0.38216,0.32495,0.26514,0.19156,1.31043,2.12965,0.00718,0.00896127,0.00896127,0.00896127
23,20645.8,1.67343,2.77118,0.00763,0.38045,0.32686,0.26643,0.19223,1.30847,2.12446,0.00716,0.00886404,0.00886404,0.00886404
24,21561,1.67662,2.76793,0.00762,0.38595,0.32755,0.26825,0.19393,1.30788,2.11981,0.00716,0.00876305,0.00876305,0.00876305
25,911.103,1.75754,2.90537,0.00902,0.38396,0.3298,0.26921,0.19381,1.31264,2.11253,0.00717,0.00938772,0.00938772,0.00938772
26,1817.45,1.77811,2.95765,0.00916,0.38111,0.32945,0.26939,0.19229,1.32933,2.11498,0.00731,0.00933683,0.00933683,0.00933683
27,2724.07,1.78225,2.96858,0.00919,0.37959,0.32876,0.26863,0.19026,1.3499,2.12102,0.00746,0.00928405,0.00928405,0.00928405
28,3629.95,1.78393,2.96637,0.0092,0.38305,0.32662,0.26793,0.18793,1.37019,2.12695,0.00762,0.00922942,0.00922942,0.00922942
29,4537.81,1.78,2.96096,0.00918,0.37339,0.32522,0.26721,0.18594,1.38969,2.13276,0.00778,0.00917296,0.00917296,0.00917296
30,5441.65,1.77901,2.95766,0.00915,0.37776,0.32599,0.26707,0.18454,1.40591,2.13787,0.00792,0.00911469,0.00911469,0.00911469
31,6349.67,1.77934,2.94879,0.00914,0.36768,0.32464,0.26574,0.1822,1.42198,2.13919,0.00806,0.00905463,0.00905463,0.00905463
32,7253.76,1.77788,2.94816,0.00913,0.36721,0.32493,0.26554,0.18098,1.43559,2.14007,0.00818,0.00899282,0.00899282,0.00899282
33,8162.2,1.77332,2.93275,0.0091,0.36881,0.32364,0.2656,0.18013,1.44734,2.14175,0.00826,0.00892928,0.00892928,0.00892928
34,9071.83,1.77518,2.93359,0.00909,0.37355,0.32499,0.2666,0.17974,1.45556,2.14165,0.00833,0.00886404,0.00886404,0.00886404
35,9965.05,1.77272,2.93652,0.00913,0.37575,0.3248,0.26638,0.17952,1.45949,2.14105,0.00836,0.00879713,0.00879713,0.00879713
36,10866.5,1.77444,2.92404,0.00903,0.37352,0.32742,0.26663,0.17932,1.46346,2.13817,0.00838,0.00872857,0.00872857,0.00872857
37,11773.4,1.768,2.921,0.00902,0.37272,0.3278,0.26653,0.17953,1.46552,2.13731,0.00837,0.00865839,0.00865839,0.00865839
38,12674.6,1.76209,2.90837,0.00901,0.37476,0.32838,0.26676,0.17988,1.4639,2.13698,0.00832,0.00858664,0.00858664,0.00858664
39,13574.8,1.75819,2.89615,0.00898,0.37162,0.33002,0.26763,0.18041,1.46236,2.13493,0.00827,0.00851333,0.00851333,0.00851333
40,14481.4,1.75886,2.9029,0.009,0.36238,0.33163,0.26835,0.18148,1.45987,2.13094,0.00822,0.00843851,0.00843851,0.00843851
41,15387,1.76029,2.89387,0.00895,0.36253,0.33224,0.26811,0.18199,1.45851,2.12658,0.00818,0.0083622,0.0083622,0.0083622
42,16292.1,1.75455,2.89517,0.00898,0.37676,0.33232,0.26828,0.18217,1.45545,2.1259,0.00815,0.00828443,0.00828443,0.00828443
43,17199.3,1.75448,2.88064,0.00893,0.3615,0.33354,0.26902,0.18273,1.4537,2.12238,0.00812,0.00820525,0.00820525,0.00820525
44,18098.1,1.75192,2.87932,0.00894,0.35909,0.33539,0.26989,0.18351,1.45113,2.12203,0.00809,0.00812468,0.00812468,0.00812468
45,19000.1,1.75008,2.87735,0.00893,0.36238,0.33571,0.27033,0.18385,1.44883,2.12014,0.00806,0.00804277,0.00804277,0.00804277
46,907.928,1.73665,2.83499,0.00875,0.3668,0.33595,0.27091,0.18438,1.44655,2.11433,0.00802,0.00881401,0.00881401,0.00881401
47,1789.58,1.75732,2.88968,0.00892,0.36387,0.3366,0.27172,0.18516,1.44584,2.11208,0.00801,0.00876305,0.00876305,0.00876305
